x_real,y_real,z_real,yaw,velocity,change_flag
640173.7052,5193592.3621,160.0000,-0.9236,25.3190,0
640174.5928,5193591.2809,160.0000,-0.9252,25.3190,0
640175.4775,5193590.2040,160.0000,-0.9265,25.2023,0
640176.3566,5193589.1297,160.0000,-0.9276,25.0856,0
640177.2309,5193588.0545,160.0000,-0.9289,24.9690,0
640178.1038,5193586.9815,160.0000,-0.9299,24.9690,0
640178.9699,5193585.9137,160.0000,-0.9307,24.7356,0
640179.8311,5193584.8513,160.0000,-0.9318,24.5023,0
640180.6813,5193583.7992,160.0000,-0.9330,23.6855,0
640181.5117,5193582.7701,160.0000,-0.9334,23.2188,0
640182.3144,5193581.7713,160.0000,-0.9336,22.5187,0
640183.0875,5193580.8080,160.0000,-0.9339,21.9354,0
640183.8402,5193579.8712,160.0000,-0.9337,21.1186,0
640184.5706,5193578.9637,160.0000,-0.9333,20.5352,0
640185.2772,5193578.0832,160.0000,-0.9333,19.9518,0
640185.9650,5193577.2320,160.0000,-0.9325,19.3685,0
640186.6315,5193576.4043,160.0000,-0.9322,19.2518,0
640187.2845,5193575.6019,160.0000,-0.9309,18.5517,0
640187.9286,5193574.8090,160.0000,-0.9302,18.3184,0
640188.5699,5193574.0236,160.0000,-0.9293,18.3184,0
640189.2024,5193573.2435,160.0000,-0.9284,18.0850,0
640189.8383,5193572.4675,160.0000,-0.9279,18.0850,0
640190.7859,5193571.3077,160.0000,-0.9263,17.9683,0
640191.7297,5193570.1532,160.0000,-0.9252,17.8516,0
640192.6707,5193569.0031,160.0000,-0.9212,17.8516,0
640193.6225,5193567.8637,160.0000,-0.9068,17.7350,0
640194.5940,5193566.7519,160.0000,-0.8851,17.7350,0
640195.5816,5193565.6661,160.0000,-0.8580,17.6183,0
640196.6008,5193564.6210,160.0000,-0.8169,17.6183,0
640197.6660,5193563.6373,160.0000,-0.7615,17.7350,0
640198.7891,5193562.7247,160.0000,-0.6970,17.7350,0
640199.9783,5193561.8808,160.0000,-0.6266,17.9683,0
640201.2424,5193561.1209,160.0000,-0.5523,18.0850,0
640202.5699,5193560.4538,160.0000,-0.4747,18.0850,0
640203.9539,5193559.8932,160.0000,-0.3913,18.0850,0
640205.3790,5193559.4521,160.0000,-0.3043,18.2017,0
640206.8347,5193559.1462,160.0000,-0.2125,18.2017,0
640208.3072,5193558.9760,160.0000,-0.1203,18.2017,0
640209.7866,5193558.9425,160.0000,-0.0301,18.2017,0
640211.2699,5193559.0344,160.0000,0.0551,18.2017,0
640212.7535,5193559.2548,160.0000,0.1322,18.4350,0
640213.7482,5193559.4610,160.0000,0.1785,18.6684,0
640214.7434,5193559.7113,160.0000,0.2201,18.7851,0
640215.7406,5193560.0072,160.0000,0.2587,19.0184,0
640216.7420,5193560.3423,160.0000,0.2923,19.2518,0
640217.7396,5193560.7103,160.0000,0.3220,19.4851,0
640218.7375,5193561.1080,160.0000,0.3464,19.7185,0
640219.7393,5193561.5337,160.0000,0.3663,19.8352,0
640220.7448,5193561.9796,160.0000,0.3807,19.9518,0
640221.7527,5193562.4375,160.0000,0.3910,20.1852,0
640222.7702,5193562.9127,160.0000,0.3988,20.4186,0
640223.7891,5193563.3928,160.0000,0.4052,20.5352,0
640224.8114,5193563.8871,160.0000,0.4106,20.7686,0
640225.8408,5193564.3867,160.0000,0.4121,20.8853,0
640226.8786,5193564.8873,160.0000,0.4111,20.8853,0
640227.9285,5193565.3917,160.0000,0.4068,21.0019,0
640228.9814,5193565.8876,160.0000,0.3986,21.0019,0
640230.0398,5193566.3728,160.0000,0.3873,21.1186,0
640231.1094,5193566.8421,160.0000,0.3727,21.2353,0
640232.1886,5193567.2972,160.0000,0.3579,21.2353,0
640233.2781,5193567.7416,160.0000,0.3426,21.2353,0
640234.3745,5193568.1668,160.0000,0.3247,21.1186,0
640235.4793,5193568.5707,160.0000,0.3032,21.3520,0
640236.5898,5193568.9469,160.0000,0.2774,21.2353,0
640237.7049,5193569.2897,160.0000,0.2480,21.0019,0
640238.8253,5193569.5946,160.0000,0.2146,20.8853,0
640239.9504,5193569.8559,160.0000,0.1757,20.8853,0
640241.0767,5193570.0647,160.0000,0.1343,20.7686,0
640242.2041,5193570.2286,160.0000,0.0896,20.6519,0
640243.3284,5193570.3356,160.0000,0.0399,20.5352,0
640244.4489,5193570.3836,160.0000,-0.0149,20.3019,0
640245.5644,5193570.3619,160.0000,-0.0750,20.3019,0
640246.6661,5193570.2717,160.0000,-0.1383,20.0685,0
640247.7541,5193570.1146,160.0000,-0.2015,19.9518,0
640248.8194,5193569.8874,160.0000,-0.2648,19.8352,0
640249.8641,5193569.6011,160.0000,-0.3273,19.7185,0
640250.8809,5193569.2502,160.0000,-0.3892,19.6018,0
640251.8673,5193568.8392,160.0000,-0.4514,19.3685,0
640252.8191,5193568.3737,160.0000,-0.5122,19.2518,0
640253.7298,5193567.8539,160.0000,-0.5733,19.0184,0
640254.6040,5193567.2873,160.0000,-0.6336,18.9017,0
640255.4334,5193566.6710,160.0000,-0.6936,18.7851,0
640256.2207,5193566.0117,160.0000,-0.7530,18.6684,0
640256.9608,5193565.3139,160.0000,-0.8123,18.5517,0
640257.6527,5193564.5819,160.0000,-0.8711,18.3184,0
640258.2956,5193563.8130,160.0000,-0.9295,18.3184,0
640259.1673,5193562.5977,160.0000,-1.0163,18.0850,0
640259.9342,5193561.3139,160.0000,-1.1004,18.0850,0
640260.5907,5193559.9775,160.0000,-1.1827,18.0850,0
640261.1413,5193558.5889,160.0000,-1.2624,18.0850,0
640261.5777,5193557.1573,160.0000,-1.3420,18.2017,0
640261.8074,5193556.1819,160.0000,-1.3962,18.2017,0
640262.0517,5193554.7050,160.0000,-1.4788,18.2017,0
640262.1748,5193553.2142,160.0000,-1.5620,18.3184,0
640262.1690,5193551.7198,160.0000,-1.6483,18.2017,0
640262.0314,5193550.2345,160.0000,-1.7357,18.0850,0
640261.7687,5193548.7688,160.0000,-1.8212,18.0850,0
640261.3889,5193547.3322,160.0000,-1.9022,18.0850,0
640260.8934,5193545.9316,160.0000,-1.9834,18.0850,0
640260.2867,5193544.5755,160.0000,-2.0640,17.9683,0
640259.5757,5193543.2679,160.0000,-2.1416,18.0850,0
640258.7644,5193542.0193,160.0000,-2.2205,18.0850,0
640257.8534,5193540.8390,160.0000,-2.3047,18.2017,0
640256.8455,5193539.7397,160.0000,-2.3899,18.2017,0
640255.7429,5193538.7295,160.0000,-2.4757,18.3184,0
640254.5509,5193537.8121,160.0000,-2.5611,18.4350,0
640253.7131,5193537.2592,160.0000,-2.6175,18.4350,0
640252.8434,5193536.7454,160.0000,-2.6717,18.4350,0
640251.9434,5193536.2810,160.0000,-2.7273,18.6684,0
640251.0169,5193535.8648,160.0000,-2.7849,18.6684,0
640250.0623,5193535.5051,160.0000,-2.8452,18.7851,0
640249.0828,5193535.2034,160.0000,-2.9058,18.7851,0
640248.0854,5193534.9602,160.0000,-2.9665,18.7851,0
640247.0735,5193534.7800,160.0000,-3.0274,18.7851,0
640246.0496,5193534.6587,160.0000,-3.0882,18.9017,0
640245.0182,5193534.6033,160.0000,3.1340,19.0184,0
640243.9797,5193534.6086,160.0000,3.0727,19.0184,0
640242.9439,5193534.6791,160.0000,3.0112,19.0184,0
640241.9148,5193534.8126,160.0000,2.9499,19.0184,0
640240.8913,5193535.0113,160.0000,2.8911,19.1351,0
640239.8776,5193535.2651,160.0000,2.8353,19.1351,0
640238.8762,5193535.5747,160.0000,2.7843,19.1351,0
640237.8854,5193535.9387,160.0000,2.7381,19.2518,0
640236.9070,5193536.3392,160.0000,2.7013,19.2518,0
