x;y;z;yaw;velocity;change_flag;x_real;y_real
-1,2706;-32,089;-1.1024;-1.576;21.2353;0;639768,729;5195007,911
-1,219;-33,2632;-1.1024;-1.5763;20.7686;0;639768,781;5195006,737
-1,1725;-34,4095;-1.1023;-1.5761;20.1852;0;639768,828;5195005,591
-1,1236;-35,5348;-1.1021;-1.5764;19.6018;0;639768,876;5195004,465
-1,0734;-36,6265;-1.1021;-1.5763;19.1351;0;639768,927;5195003,374
-1,0286;-37,6892;-1.1021;-1.5762;18.6684;0;639768,971;5195002,311
-0,9852;-38,7231;-1.1019;-1.5762;18.2017;0;639769,015;5195001,277
-0,9448;-39,7301;-1.1018;-1.5762;17.8516;0;639769,055;5195000,270
-0,8862;-41,2071;-1.1016;-1.5764;17.5016;0;639769,114;5194998,793
-0,8245;-42,6497;-1.1015;-1.5764;17.0349;0;639769,176;5194997,350
-0,7688;-44,0629;-1.1016;-1.5765;16.5682;0;639769,231;5194995,937
-0,7133;-45,4349;-1.1019;-1.5767;15.9848;0;639769,287;5194994,565
-0,6625;-46,7602;-1.102;-1.5771;15.4014;0;639769,338;5194993,240
-0,6128;-48,0364;-1.1019;-1.5769;15.4014;0;639769,387;5194991,964
-0,5679;-49,2785;-1.1017;-1.5735;14.818;0;639769,432;5194990,722
-0,5176;-50,5132;-1.1014;-1.558;14.818;0;639769,482;5194989,487
-0,4265;-51,7346;-1.1015;-1.515;14.7014;0;639769,574;5194988,265
-0,2451;-52,9279;-1.1017;-1.4484;14.5847;0;639769,755;5194987,072
0,0178;-54,0958;-1.1018;-1.3755;14.7014;0;639770,018;5194985,904
0,37;-55,2521;-1.1016;-1.3003;15.0514;0;639770,370;5194984,748
0,8548;-56,4023;-1.102;-1.2226;15.4014;0;639770,855;5194983,598
1,4497;-57,5438;-1.1022;-1.1423;15.8681;0;639771,450;5194982,456
2,1607;-58,6632;-1.1018;-1.0597;16.2182;0;639772,161;5194981,337
2,963;-59,7482;-1.1022;-0.9762;16.2182;0;639772,963;5194980,252
3,8431;-60,7782;-1.1028;-0.8838;16.5682;0;639773,843;5194979,222
4,8261;-61,716;-1.1029;-0.7793;16.6849;0;639774,826;5194978,284
5,904;-62,5365;-1.1037;-0.6626;16.6849;0;639775,904;5194977,464
7,0779;-63,2042;-1.104;-0.5342;16.6849;0;639777,078;5194976,796
8,3192;-63,7317;-1.1041;-0.4069;16.6849;0;639778,319;5194976,268
9,5913;-64,1035;-1.1047;-0.2928;16.6849;0;639779,591;5194975,897
