x_real;y_real;z_real;yaw;velocity;change_flag
640172.0090;5193597.0080;160.0000;-0.8931;21.0019;0
640172.7907;5193596.1159;160.0000;-0.8954;21.3520;0
640173.5683;5193595.2237;160.0000;-0.8981;21.3520;0
640174.3402;5193594.3301;160.0000;-0.9009;21.3520;0
640175.1123;5193593.4367;160.0000;-0.9035;21.2353;0
640175.8775;5193592.5441;160.0000;-0.9064;21.2353;0
640176.6356;5193591.6515;160.0000;-0.9096;21.1186;0
640177.3915;5193590.7611;160.0000;-0.9117;21.1186;0
640178.1443;5193589.8701;160.0000;-0.9134;21.1186;0
640178.8952;5193588.9804;160.0000;-0.9150;20.8853;0
640179.6411;5193588.0955;160.0000;-0.9161;20.8853;0
640180.3823;5193587.2128;160.0000;-0.9178;20.8853;0
640181.1203;5193586.3306;160.0000;-0.9188;20.7686;0
640181.8553;5193585.4504;160.0000;-0.9202;20.7686;0
640182.5879;5193584.5737;160.0000;-0.9217;20.6519;0
640183.3203;5193583.6942;160.0000;-0.9227;20.5352;0
640184.0455;5193582.8197;160.0000;-0.9242;20.5352;0
640184.7690;5193581.9465;160.0000;-0.9251;20.5352;0
640185.4897;5193581.0743;160.0000;-0.9265;20.5352;0
640186.2072;5193580.2053;160.0000;-0.9277;20.4186;0
640186.9253;5193579.3335;160.0000;-0.9285;20.3019;0
640187.6349;5193578.4701;160.0000;-0.9298;20.1852;0
640188.3441;5193577.6047;160.0000;-0.9305;20.1852;0
640189.0503;5193576.7404;160.0000;-0.9317;20.1852;0
640189.7540;5193575.8783;160.0000;-0.9325;20.1852;0
640190.4550;5193575.0175;160.0000;-0.9334;20.0685;0
640191.1553;5193574.1561;160.0000;-0.9345;19.9518;0
640191.8508;5193573.2996;160.0000;-0.9348;19.9518;0
640192.5428;5193572.4435;160.0000;-0.9349;19.9518;0
640193.2342;5193571.5897;160.0000;-0.9305;19.8352;0
640193.9305;5193570.7454;160.0000;-0.9220;19.8352;0
640194.6366;5193569.9116;160.0000;-0.9096;19.7185;0
640195.3513;5193569.0879;160.0000;-0.8926;19.6018;0
640196.0826;5193568.2841;160.0000;-0.8701;19.6018;0
640196.8306;5193567.5033;160.0000;-0.8408;19.6018;0
640197.6010;5193566.7487;160.0000;-0.8071;19.4851;0
640198.3986;5193566.0276;160.0000;-0.7689;19.3685;0
640199.2184;5193565.3409;160.0000;-0.7266;19.4851;0
640200.0675;5193564.6989;160.0000;-0.6786;19.3685;0
640200.9404;5193564.0993;160.0000;-0.6279;19.2518;0
640201.8417;5193563.5525;160.0000;-0.5722;19.2518;0
640202.7672;5193563.0617;160.0000;-0.5116;19.1351;0
