x_real,y_real,z_real,yaw,velocity,change_flag
640222.3741,5193567.8977,160.0000,0.4060,15.5181,0
640223.5333,5193568.4621,160.0000,0.4082,15.7515,0
640224.7168,5193569.0374,160.0000,0.4063,15.9848,0
640225.9219,5193569.6166,160.0000,0.4015,16.2182,0
640227.1498,5193570.1967,160.0000,0.3954,16.4515,0
640228.3961,5193570.7785,160.0000,0.3871,16.5682,0
640229.6532,5193571.3499,160.0000,0.3772,16.6849,0
640230.9279,5193571.9068,160.0000,0.3643,16.9182,0
640232.2188,5193572.4476,160.0000,0.3455,16.9182,0
640233.5268,5193572.9634,160.0000,0.3212,17.0349,0
640234.8552,5193573.4494,160.0000,0.2932,17.1516,0
640236.2038,5193573.8903,160.0000,0.2561,17.2683,0
640237.5737,5193574.2761,160.0000,0.2119,17.2683,0
640238.9632,5193574.5984,160.0000,0.1628,17.2683,0
640240.3686,5193574.8469,160.0000,0.1125,17.2683,0
640241.7837,5193575.0287,160.0000,0.0617,17.2683,0
640243.2064,5193575.1368,160.0000,0.0100,17.2683,0
640244.6351,5193575.1705,160.0000,-0.0444,17.3849,0
640246.0640,5193575.1239,160.0000,-0.1025,17.3849,0
640247.4851,5193574.9919,160.0000,-0.1672,17.3849,0
640248.8964,5193574.7628,160.0000,-0.2348,17.5016,0
640250.2917,5193574.4370,160.0000,-0.3023,17.5016,0
640251.6596,5193574.0220,160.0000,-0.3732,17.3849,0
640252.9965,5193573.5039,160.0000,-0.4441,17.5016,0
640254.2962,5193572.8964,160.0000,-0.5094,17.5016,0
640255.5593,5193572.2082,160.0000,-0.5739,17.6183,0
640256.7768,5193571.4361,160.0000,-0.6389,17.6183,0
640257.9492,5193570.5867,160.0000,-0.7042,17.5016,0
640259.0554,5193569.6624,160.0000,-0.7721,17.5016,0
640260.0875,5193568.6699,160.0000,-0.8407,17.5016,0
640261.0485,5193567.6126,160.0000,-0.9067,17.3849,0
640261.9446,5193566.4990,160.0000,-0.9702,17.3849,0
640262.7688,5193565.3268,160.0000,-1.0332,17.3849,0
640263.5134,5193564.1043,160.0000,-1.0964,17.3849,0
640264.1816,5193562.8385,160.0000,-1.1596,17.3849,0
640264.7665,5193561.5358,160.0000,-1.2222,17.2683,0
640265.2681,5193560.2022,160.0000,-1.2844,17.2683,0
640265.6852,5193558.8478,160.0000,-1.3452,17.1516,0
640266.0187,5193557.4796,160.0000,-1.4048,17.1516,0
640266.2686,5193556.1045,160.0000,-1.4642,16.9182,0
640266.4399,5193554.7218,160.0000,-1.5222,16.8016,0
640266.5264,5193553.3402,160.0000,-1.5800,16.6849,0
640266.5321,5193551.9640,160.0000,-1.6400,16.6849,0
640266.4542,5193550.6011,160.0000,-1.7008,16.5682,0
640266.2954,5193549.2537,160.0000,-1.7613,16.4515,0
640266.0549,5193547.9196,160.0000,-1.8211,16.4515,0
640265.7372,5193546.6004,160.0000,-1.8799,16.5682,0
640265.3452,5193545.2949,160.0000,-1.9381,16.5682,0
640264.8787,5193544.0099,160.0000,-1.9962,16.5682,0
640264.3326,5193542.7498,160.0000,-2.0549,16.6849,0
640263.7115,5193541.5221,160.0000,-2.1152,16.8016,0
640263.0134,5193540.3303,160.0000,-2.1755,16.6849,0
640262.2452,5193539.1818,160.0000,-2.2349,16.6849,0
640261.4132,5193538.0859,160.0000,-2.2936,16.5682,0
640260.5241,5193537.0492,160.0000,-2.3532,16.5682,0
640259.5853,5193536.0762,160.0000,-2.4149,16.4515,0
640258.5923,5193535.1681,160.0000,-2.4783,16.3348,0
640257.5521,5193534.3382,160.0000,-2.5448,16.3348,0
640256.4599,5193533.5833,160.0000,-2.6129,16.2182,0
640255.3139,5193532.9013,160.0000,-2.6806,16.2182,0
640254.1203,5193532.2940,160.0000,-2.7486,16.3348,0
640252.8859,5193531.7713,160.0000,-2.8168,16.4515,0
640251.6159,5193531.3262,160.0000,-2.8803,16.4515,0
640250.3149,5193530.9603,160.0000,-2.9407,16.5682,0
640248.9897,5193530.6638,160.0000,-2.9980,16.5682,0
640247.6469,5193530.4460,160.0000,-3.0551,16.5682,0
640246.2873,5193530.3052,160.0000,-3.1108,16.5682,0
640244.9164,5193530.2349,160.0000,3.1168,16.6849,0
640243.5443,5193530.2459,160.0000,3.0598,16.6849,0
640242.1718,5193530.3352,160.0000,3.0014,16.6849,0
640240.8044,5193530.5021,160.0000,2.9435,16.6849,0
640239.4450,5193530.7482,160.0000,2.8876,16.8016,0
640238.1013,5193531.0675,160.0000,2.8327,16.8016,0
640236.7740,5193531.4566,160.0000,2.7851,16.6849,0
640235.4687,5193531.9057,160.0000,2.7422,16.6849,0
640234.1818,5193532.3956,160.0000,2.7106,16.5682,0
640232.9225,5193532.9202,160.0000,2.6839,16.4515,0
640231.6845,5193533.4716,160.0000,2.6618,16.3348,0
640230.4600,5193534.0470,160.0000,2.6452,16.2182,0
640229.2516,5193534.6266,160.0000,2.6408,16.1015,0
640228.0496,5193535.1987,160.0000,2.6452,16.1015,0
640226.8496,5193535.7573,160.0000,2.6553,15.9848,0
640225.6452,5193536.2977,160.0000,2.6727,15.8681,0
640224.4393,5193536.8137,160.0000,2.6954,15.8681,0
640223.2217,5193537.2933,160.0000,2.7258,15.9848,0
640221.9822,5193537.7325,160.0000,2.7650,15.9848,0
640220.7177,5193538.1194,160.0000,2.8100,16.1015,0
640219.4334,5193538.4463,160.0000,2.8551,16.1015,0
640218.1299,5193538.7174,160.0000,2.9006,16.2182,0
640216.8066,5193538.9347,160.0000,2.9424,16.3348,0
640215.4723,5193539.0992,160.0000,2.9790,16.3348,0
640214.1234,5193539.2223,160.0000,3.0122,16.4515,0
640212.7641,5193539.3012,160.0000,3.0419,16.4515,0
640211.3945,5193539.3469,160.0000,3.0647,16.5682,0
640210.0212,5193539.3646,160.0000,3.0810,16.6849,0
640208.6464,5193539.3671,160.0000,3.0925,16.5682,0
640207.2748,5193539.3582,160.0000,3.1015,16.4515,0
