x;y;z;yaw;velocity;change_flag;x_real;y_real
43,5502;-51,8304;-1,1028;-1,8366;14,468;0;639813,55;5194988,17
43,2164;-52,9419;-1,1023;-1,9442;14,818;0;639813,22;5194987,06
42,7426;-54,0033;-1,1017;-2,06;14,5847;0;639812,74;5194986,00
42,1369;-55,011;-1,1013;-2,1778;14,818;0;639812,14;5194984,99
41,4014;-55,9463;-1,0997;-2,2991;15,0514;0;639811,40;5194984,05
40,5649;-56,8065;-1,0984;-2,4213;15,0514;0;639810,56;5194983,19
39,6044;-57,5478;-1,0968;-2,5409;15,0514;0;639809,60;5194982,45
38,5703;-58,1723;-1,0959;-2,6599;14,9347;0;639808,57;5194981,83
37,4643;-58,6731;-1,0947;-2,7741;14,818;0;639807,46;5194981,33
36,3159;-59,0543;-1,0945;-2,88;14,818;0;639806,32;5194980,95
35,1336;-59,3235;-1,0941;-2,9707;14,818;0;639805,13;5194980,68
33,9203;-59,4983;-1,0938;-3,0484;15,1681;0;639803,92;5194980,50
32,6721;-59,5859;-1,0937;-3,1148;15,5181;0;639802,67;5194980,41
31,3883;-59,6157;-1,0942;3,111;15,7515;0;639801,39;5194980,38
30,0767;-59,5755;-1,0944;3,0565;16,2182;0;639800,08;5194980,42
28,7373;-59,4635;-1,094;3,0081;16,4515;0;639798,74;5194980,54
27,3809;-59,294;-1,0947;2,9666;16,5682;0;639797,38;5194980,71
26,0195;-59,0638;-1,0955;2,9255;16,6849;0;639796,02;5194980,94
24,6505;-58,7698;-1,0949;2,8908;17,0349;0;639794,65;5194981,23
23,2872;-58,4411;-1,094;2,8584;16,8016;0;639793,29;5194981,56
21,9393;-58,0633;-1,0933;2,8272;16,8016;0;639791,94;5194981,94
20,6034;-57,648;-1,0927;2,7957;16,8016;0;639790,60;5194982,35
19,2908;-57,1963;-1,0933;2,7647;16,8016;0;639789,29;5194982,80
17,9933;-56,7124;-1,0946;2,7287;16,6849;0;639787,99;5194983,29
16,725;-56,1754;-1,0963;2,6844;16,6849;0;639786,73;5194983,82
15,5042;-55,5889;-1,098;2,6292;16,5682;0;639785,50;5194984,41
14,3299;-54,9339;-1,0998;2,5651;16,8016;0;639784,33;5194985,07
13,2271;-54,1968;-1,101;2,4901;16,3348;0;639783,23;5194985,80
12,1843;-53,3941;-1,1021;2,4112;16,2182;0;639782,18;5194986,61
11,218;-52,4983;-1,1032;2,3293;16,2182;0;639781,22;5194987,50
10,3297;-51,5116;-1,1033;2,2391;16,3348;0;639780,33;5194988,49
9,5367;-50,4415;-1,1033;2,1439;16,4515;0;639779,54;5194989,56
8,8435;-49,2887;-1,1031;2,0466;16,5682;0;639778,84;5194990,71
8,2637;-48,0635;-1,1029;1,9489;16,6849;0;639778,26;5194991,94
7,8001;-46,7774;-1,1027;1,8541;16,8016;0;639777,80;5194993,22
7,4376;-45,4431;-1,1024;1,7745;16,9182;0;639777,44;5194994,56
7,1686;-44,0715;-1,1024;1,7133;17,1516;0;639777,17;5194995,93
6,9489;-42,6655;-1,1024;1,6731;17,3849;0;639776,95;5194997,33
6,7759;-41,225;-1,1022;1,6411;17,735;0;639776,78;5194998,78
6,6429;-39,7534;-1,102;1,6154;18,085;0;639776,64;5195000,25
6,568;-38,7559;-1,102;1,6032;18,3184;0;639776,57;5195001,24
